property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
247891,"1 Bed, 1 Bath Condo for Sale in Mekong View Tower 2",Condo,8/1/2025,9/1/2025,1.0,1.0,,63.0,7.0,2020,,70000.0,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
247890,Land for Sale in Chroy Changvar,Land/Development,8/1/2025,8/1/2025,,,954.0,,,2020,,1431000.0,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,
247889,"1 Bed, 1 Bath Condo for Sale in Chroy Changvar",Condo,8/1/2025,9/1/2025,1.0,1.0,,62.0,12.0,2020,,64000.0,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
247888,"6 Bed, 4 Bath House for Sale in Toul Tum Poung 1",House,8/1/2025,8/1/2025,6.0,4.0,92.0,196.0,,2020,,350000.0,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",Toul Tum Poung 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
247877,"7 Bed, 8 Bath Villa for Sale & Rent in Preaek Lieb",Villa,6/1/2025,7/1/2025,7.0,8.0,578.0,388.0,,2020,S/W,850000.0,"Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
247876,"4 Bed, 5 Bath Link House for Sale in Phnom Penh Park",Unit,6/1/2025,7/1/2025,4.0,5.0,107.0,201.0,,2021,E/S,190000.0,"Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
247875,"4 Bed, 6 Bath Twin Villa for Sale & Rent in Preaek Ta Sek",Twin Villa,6/1/2025,8/1/2025,4.0,6.0,210.0,336.0,,2021,,300000.0,"Preaek Ta Sek, Chroy Changvar, Phnom Penh",Preaek Ta Sek,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
247865,"4 Bed, 5 Bath Link House for Sale in Chak Angrae Kraom",Unit,6/1/2025,6/1/2025,4.0,5.0,144.0,198.0,,2021,W,375000.0,"Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
247843,"1 Bed, 1 Bath Condo for Sale in Agile Sky Residence",Condo,3/1/2025,6/1/2025,1.0,1.0,,56.0,9.0,2022,W,99980.0,"Preah Monivong BLVD (93) 456, BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
247842,"2 Bed, 2 Bath Condo for Sale in J Tower 2 Condominium",Condo,3/1/2025,6/1/2025,2.0,2.0,,65.0,17.0,2022,N,180000.0,"BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Playground, Swimming Pool, Backup Electricity / Generator"
247838,"2 Bed, 2 Bath Condo for Sale & Rent in The Skyline",Condo,3/1/2025,6/1/2025,2.0,2.0,,77.0,15.0,2022,,180000.0,"Veal Vong, 7 Makara, Phnom Penh",Veal Vong,7 Makara,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
247837,"1 Bed, 1 Bath Condo for Sale in The Skyline",Condo,3/1/2025,3/1/2025,1.0,1.0,,77.0,17.0,2022,,70000.0,"Veal Vong, 7 Makara, Phnom Penh",Veal Vong,7 Makara,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
247796,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,2/1/2025,2/1/2025,1.0,1.0,60.0,45.0,,2022,,166066.0,"BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,
247794,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,2/1/2025,2/1/2025,1.0,1.0,39.0,29.0,,2022,,121358.0,"BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,
247761,"6 Bed, 6 Bath Shophouse for Sale in Tumnob Tuek",Shophouse,27/12/2024,27/12/2024,6.0,6.0,,,,2022,W,380000.0,"Tumnob Tuek, Chamkarmon, Phnom Penh",Tumnob Tuek,Chamkarmon,Phnom Penh,
247758,"1 Bed, 1 Bath Condo for Sale in Russey Keo",Condo,27/12/2024,27/12/2024,1.0,1.0,,59.0,12.0,2022,,50000.0,"Russey Keo, Russey Keo, Phnom Penh",Russey Keo,Russey Keo,Phnom Penh,
247755,"4 Bed, 3 Bath Condo for Sale in Tonle Bassac",Condo,27/12/2024,27/12/2024,4.0,3.0,,150.0,12.0,2022,,420000.0,"Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh,"Lift / Elevator, Non-Flooding, Backup Electricity / Generator"
247752,"2 Bed, 3 Bath Twin Villa for Sale in Bak Kaeng",Twin Villa,27/12/2024,27/12/2024,2.0,3.0,84.0,,,2022,,79800.0,"Bak Kaeng, Chroy Changvar, Phnom Penh",Bak Kaeng,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
247738,"2 Bed, 3 Bath Shophouse for Sale in BKK 3",Shophouse,26/12/2024,26/12/2024,2.0,3.0,,,,2022,S,380000.0,"BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,
247736,Land for Sale in Akreiy Ksatr,Land/Development,26/12/2024,26/12/2024,,,9425.0,,,2022,,838825.0,"Akreiy Ksatr, Lvea Aem, Kandal",Akreiy Ksatr,Lvea Aem,Kandal,
247723,"4 Bed, 5 Bath Twin Villa for Sale & Rent in Phnom Penh Thmey",Twin Villa,25/12/2024,25/12/2024,4.0,5.0,,,,2022,S,39000.0,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Phnom Penh Thmey,Sen Sok,Phnom Penh,
247701,"1 Bed, 1 Bath Studio for Sale in Chroy Changvar",Studio,25/12/2024,25/12/2024,1.0,1.0,,47.0,19.0,2022,,79000.0,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,
247674,"4 Bed, 5 Bath Link House for Sale & Rent in Tonle Bassac",Unit,24/12/2024,24/12/2024,4.0,5.0,,,,2022,,360000.0,"Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh,
247668,Land for Sale in Bet Trang,Land/Development,24/12/2024,24/12/2024,,,3000.0,,,2022,,1050000.0,"Bet Trang, Prey Nob, Sihanoukville",Bet Trang,Prey Nob,Sihanoukville,
247662,"3 Bed, 2 Bath Condo for Sale in J Tower 3 Condominium",Condo,24/12/2024,27/12/2024,3.0,2.0,,166.0,12.0,2028,,364000.0,"Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Jacuzzi, Lift / Elevator, Non-Flooding, Playground, Sauna, Swimming Pool, Backup Electricity / Generator"
247656,"4 Bed, 5 Bath Villa for Sale in Phnom Penh Thmey",Villa,24/12/2024,24/12/2024,4.0,5.0,,,,2028,N,220000.0,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Phnom Penh Thmey,Sen Sok,Phnom Penh,
247644,"3 Bed, 3 Bath Shophouse for Sale in Phsar Thmei III",Shophouse,23/12/2024,24/12/2024,3.0,3.0,,,2.0,2028,,350000.0,"Phsar Thmei III, Daun Penh, Phnom Penh",Phsar Thmei III,Daun Penh,Phnom Penh,
