property_id,price,listed_date,updated_date,land_area,floor_area,bedrooms,bathrooms,location_id
property_202,1600000.0,date_72,date_36,559.0,588.0,7.0,9.0,location_45
property_203,130000.0,date_72,date_71,79.0,207.0,3.0,4.0,location_63
property_204,360000.0,date_73,date_64,210.0,,4.0,5.0,location_64
property_205,260000.0,date_73,date_64,157.0,,4.0,5.0,location_64
property_206,70000.0,date_73,date_58,393.0,,,,location_65
property_207,330000.0,date_5,date_62,222.0,270.0,5.0,6.0,location_45
property_208,2001600.0,date_5,date_55,6255.0,,,,location_66
property_209,680000.0,date_5,date_26,385.0,,11.0,11.0,location_33
property_210,3300000.0,date_5,date_37,1737.0,,6.0,6.0,location_67
property_211,717000.0,date_5,date_73,956.0,,,,location_67
property_212,2010290.0,date_5,date_73,3793.0,,,,location_67
property_213,13892400.0,date_74,date_296,46308.0,,,,location_66
property_214,900000.0,date_75,date_40,1157.0,,,,location_7
property_215,10000000.0,date_75,date_47,3050.0,,,,location_1
property_216,319999.0,date_75,date_64,64.0,116.0,3.0,4.0,location_24
property_217,500000.0,date_76,date_47,500.0,,,,location_12
property_218,270000.0,date_76,date_58,,127.0,3.0,2.0,location_1
property_219,450000.0,date_76,date_64,76.0,228.0,6.0,5.0,location_8
property_220,278000.0,date_76,date_64,150.0,216.0,4.0,6.0,location_28
property_221,170000.0,date_76,date_5,71.0,126.0,4.0,5.0,location_6
property_222,390000.0,date_76,date_55,126.0,264.0,4.0,6.0,location_4
property_223,179000.0,date_6,date_55,189.0,216.0,4.0,5.0,location_26
property_224,290000.0,date_77,date_298,160.0,,4.0,5.0,location_3
property_225,2350000.0,date_77,date_299,580.0,,5.0,6.0,location_8
property_226,490000.0,date_77,date_299,230.0,351.0,11.0,15.0,location_8
property_227,578000.0,date_78,date_3,312.0,273.0,5.0,6.0,location_38
property_228,63000.0,date_78,date_77,56.0,,1.0,1.0,location_28
property_229,140000.0,date_79,date_300,71.0,126.0,4.0,5.0,location_6
property_230,680000.0,date_79,date_300,343.0,263.0,5.0,5.0,location_13
property_231,990000.0,date_80,date_4,,,4.0,6.0,location_68
property_232,220000.0,date_80,date_67,91.0,170.0,5.0,4.0,location_69
property_233,510000.0,date_81,date_80,,,6.0,7.0,location_70
property_234,360000.0,date_82,date_67,96.0,160.0,3.0,2.0,location_69
property_235,200000.0,date_82,date_67,63.0,135.0,4.0,4.0,location_69
property_236,1500000.0,date_82,date_65,,472.0,3.0,4.0,location_19
property_237,780000.0,date_82,date_301,400.0,432.0,6.0,6.0,location_48
property_238,590000.0,date_82,date_61,374.0,540.0,10.0,12.0,location_38
property_239,230000.0,date_83,date_80,283.0,,6.0,6.0,location_71
property_240,620000.0,date_83,date_301,324.0,,,,location_35
property_241,3700000.0,date_83,date_302,1400.0,1039.0,11.0,12.0,location_6
property_242,240000.0,date_83,date_83,,76.0,1.0,1.0,location_1
property_243,7900000.0,date_84,date_303,1866.0,,,,location_20
property_244,175000.0,date_84,date_304,63.0,229.0,5.0,5.0,location_72
property_245,320000.0,date_84,date_305,232.0,417.0,8.0,12.0,location_38
property_246,120000.0,date_84,date_19,101.0,189.0,4.0,5.0,location_48
property_247,125000.0,date_85,date_69,,71.0,2.0,1.0,location_22
property_248,430000.0,date_85,date_306,165.0,216.0,4.0,5.0,location_4
property_249,250000.0,date_85,date_85,86.0,172.0,2.0,2.0,location_37
property_250,85000.0,date_86,date_300,540.0,960.0,4.0,5.0,location_54
property_251,750000.0,date_86,date_85,,195.0,4.0,3.0,location_1
property_252,300000.0,date_86,date_300,,195.0,3.0,3.0,location_1
property_253,280000.0,date_86,date_300,,195.0,3.0,3.0,location_1
property_254,1303800.0,date_86,date_300,4346.0,,,,location_47
property_255,65000.0,date_86,date_31,,46.0,2.0,1.0,location_38
property_256,480000.0,date_86,date_70,165.0,216.0,4.0,5.0,location_4
property_257,371690.0,date_86,date_72,3379.0,,,,location_54
property_258,65000.0,date_86,date_72,500.0,,,,location_54
property_259,460000.0,date_87,date_72,152.0,291.0,5.0,6.0,location_5
property_260,99980.0,date_87,date_72,,56.0,1.0,1.0,location_22
property_261,335000.0,date_87,date_86,192.0,270.0,5.0,6.0,location_6
property_262,424500.0,date_87,date_86,1415.0,,,,location_54
property_263,60000.0,date_87,date_86,200.0,176.0,4.0,3.0,location_54
property_264,1628000.0,date_87,date_86,2960.0,,,,location_73
property_265,63000.0,date_87,date_87,200.0,176.0,4.0,3.0,location_54
property_266,75000.0,date_87,date_87,200.0,176.0,4.0,3.0,location_54
