property_id,property_name,property_types,floor_level,completion_year,facing
property_33,"4 Bed, 5 Bath Link House for Sale in Chak Angrae Kraom",Unit,,2021,W
property_34,"1 Bed, 1 Bath Condo for Sale in Agile Sky Residence",Condo,9.0,2022,W
property_35,"2 Bed, 2 Bath Condo for Sale in J Tower 2 Condominium",Condo,17.0,2022,N
property_36,"2 Bed, 2 Bath Condo for Sale & Rent in The Skyline",Condo,15.0,2022,
property_37,"1 Bed, 1 Bath Condo for Sale in The Skyline",Condo,17.0,2022,
property_38,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,,2022,
property_39,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,,2022,
property_40,"6 Bed, 6 Bath Shophouse for Sale in Tumnob Tuek",Shophouse,,2022,W
property_41,"1 Bed, 1 Bath Condo for Sale in Russey Keo",Condo,12.0,2022,
property_42,"4 Bed, 3 Bath Condo for Sale in Tonle Bassac",Condo,12.0,2022,
property_43,"2 Bed, 3 Bath Twin Villa for Sale in Bak Kaeng",Twin Villa,,2022,
property_44,"2 Bed, 3 Bath Shophouse for Sale in BKK 3",Shophouse,,2022,S
property_45,Land for Sale in Akreiy Ksatr,Land/Development,,2022,
property_46,"4 Bed, 5 Bath Twin Villa for Sale & Rent in Phnom Penh Thmey",Twin Villa,,2022,S
property_47,"1 Bed, 1 Bath Studio for Sale in Chroy Changvar",Studio,19.0,2022,
property_48,"4 Bed, 5 Bath Link House for Sale & Rent in Tonle Bassac",Unit,,2022,
property_49,Land for Sale in Bet Trang,Land/Development,,2022,
property_50,"3 Bed, 2 Bath Condo for Sale in J Tower 3 Condominium",Condo,12.0,2028,
property_51,"4 Bed, 5 Bath Villa for Sale in Phnom Penh Thmey",Villa,,2028,N
property_52,"3 Bed, 3 Bath Shophouse for Sale in Phsar Thmei III",Shophouse,2.0,2028,
property_53,"2 Bed, 2 Bath Condo for Sale in Chroy Changvar",Condo,17.0,2028,
property_54,"2 Bed, 2 Bath Condo for Sale in Boeung Kak 2",Condo,6.0,2028,
property_55,"1 Bed, 1 Bath Condo for Sale in Rose Apple Square",Condo,6.0,2023,
property_56,"4 Bed, 4 Bath Flat House for Sale in Tuek L'ak 3",Retreat,,2023,N/E
property_57,"4 Bed, 4 Bath Flat House for Sale in Tuek L'ak 3",Retreat,,2023,N
property_58,"5 Bed, 4 Bath Flat House for Sale in Tuek L'ak 3",Retreat,2.0,2023,N
property_59,"4 Bed, 4 Bath Flat House for Sale in Tuek L'ak 3",Retreat,2.0,2023,S
property_60,"4 Bed, 4 Bath Flat House for Sale in Tuek L'ak 3",Retreat,,2023,S
property_61,"5 Bed, 4 Bath Flat House for Sale in Tuek L'ak 3",Retreat,2.0,2023,S
property_62,"4 Bed, 5 Bath Flat House for Sale & Rent in Tuek L'ak 3",Retreat,2.0,2023,N/E
property_63,"4 Bed, 5 Bath Villa for Sale & Rent in Phnom Penh Thmey",Villa,,2023,S
property_64,"10 Bed, 12 Bath Shophouse for Sale in Chroy Changvar",Shophouse,3.0,2023,N/E
property_65,"4 Bed, 5 Bath Villa for Sale & Rent in Phnom Penh Thmey",Villa,,2023,W
