amenity_id,property_id,amenity_name
amenity_1,property_1083,Car Parking
amenity_7,property_1083,Garden
amenity_9,property_1083,Non-Flooding
amenity_5,property_1083,Swimming Pool
amenity_10,property_1083,Backup Electricity / Generator
amenity_1,property_1084,Car Parking
amenity_2,property_1084,Commercial area
amenity_9,property_1084,Non-Flooding
amenity_2,property_1085,Commercial area
amenity_9,property_1085,Non-Flooding
amenity_1,property_1086,Car Parking
amenity_2,property_1086,Commercial area
amenity_9,property_1086,Non-Flooding
amenity_1,property_1087,Car Parking
amenity_2,property_1087,Commercial area
amenity_9,property_1087,Non-Flooding
No_amenities,property_1088,No amenities
No_amenities,property_1089,No amenities
amenity_1,property_1090,Car Parking
amenity_2,property_1090,Commercial area
amenity_3,property_1090,Lift / Elevator
amenity_9,property_1090,Non-Flooding
amenity_5,property_1090,Swimming Pool
amenity_10,property_1090,Backup Electricity / Generator
No_amenities,property_1091,No amenities
amenity_1,property_1092,Car Parking
amenity_8,property_1092,Gym/Fitness Center
amenity_3,property_1092,Lift / Elevator
amenity_9,property_1092,Non-Flooding
amenity_5,property_1092,Swimming Pool
amenity_10,property_1092,Backup Electricity / Generator
No_amenities,property_1093,No amenities
No_amenities,property_1094,No amenities
amenity_1,property_1095,Car Parking
amenity_9,property_1095,Non-Flooding
amenity_1,property_1096,Car Parking
amenity_2,property_1096,Commercial area
amenity_9,property_1096,Non-Flooding
amenity_1,property_1097,Car Parking
amenity_2,property_1097,Commercial area
amenity_9,property_1097,Non-Flooding
amenity_1,property_1098,Car Parking
amenity_2,property_1098,Commercial area
amenity_9,property_1098,Non-Flooding
amenity_1,property_1099,Car Parking
amenity_2,property_1099,Commercial area
amenity_9,property_1099,Non-Flooding
amenity_1,property_1100,Car Parking
amenity_2,property_1100,Commercial area
amenity_8,property_1100,Gym/Fitness Center
amenity_3,property_1100,Lift / Elevator
amenity_9,property_1100,Non-Flooding
amenity_5,property_1100,Swimming Pool
No_amenities,property_1101,No amenities
No_amenities,property_1102,No amenities
amenity_1,property_1103,Car Parking
amenity_2,property_1103,Commercial area
amenity_9,property_1103,Non-Flooding
amenity_4,property_1103,On main road
amenity_1,property_1104,Car Parking
amenity_2,property_1104,Commercial area
amenity_9,property_1104,Non-Flooding
No_amenities,property_1105,No amenities
amenity_1,property_1106,Car Parking
amenity_7,property_1106,Garden
amenity_8,property_1106,Gym/Fitness Center
amenity_3,property_1106,Lift / Elevator
amenity_11,property_1106,Playground
