property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
245173,"5 Bed, 3 Bath House for Sale in Boeung Tumpun",House,21/08/2024,19/09/2024,5,3,130,201,N/A,2019,N/A,"$170,000 ","Boeung Tumpun, Meanchey, Phnom Penh",Boeung Tumpun,Meanchey,Phnom Penh,"Commercial area, Non-Flooding"
245161,"2 Bed, 2 Bath Apartment for Sale in The Garden Residency",Apartment,20/08/2024,3/9/2024,2,2,N/A,56,3,2019,N/A,"$110,000 ","Street 1984 Street, Phnom Penh Thmey, Sen Sok, Phnom Penh",Phnom Penh Thmey,Sen Sok,Phnom Penh,"Car Parking, Commercial area, Lift / Elevator, Non-Flooding"
245157,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Rosato",Twin Villa,20/08/2024,3/9/2024,4,5,171,216,N/A,2019,W,"$283,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245154,"4 Bed, 5 Bath Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Villa,20/08/2024,19/09/2024,4,5,300,360,N/A,2019,S,"$638,000 ","Cheung Aek, Dangkao, Phnom Penh",Cheung Aek,Dangkao,Phnom Penh,Car Parking
245136,"8 Bed, 10 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,19/08/2024,2/9/2024,8,10,149,252,N/A,2019,W,"$250,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245133,"2 Bed, 3 Bath House for Sale & Rent in Phsar Kandal I",House,19/08/2024,1/9/2024,2,3,N/A,165,N/A,2019,N/A,"$395,000 ","Phsar Kandal I, Daun Penh, Phnom Penh",Phsar Kandal I,Daun Penh,Phnom Penh,"Commercial area, Non-Flooding"
245131,"2 Bed, 1 Bath Condo for Sale in Arakawa Residence",Condo,19/08/2024,19/08/2024,2,1,N/A,48,11,2022,N/A,"$85,000 ","Tuek Thla, Sen Sok, Phnom Penh",Tuek Thla,Sen Sok,Phnom Penh,"Car Parking, Commercial area, Garden, Lift / Elevator, Non-Flooding, Backup Electricity / Generator"
245112,Villa for Sale in Svay Dankum,Villa,17/08/2024,19/08/2024,N/A,N/A,N/A,N/A,N/A,2022,N/A,"$600,000 ","Svay Dankum, Siem Reap, Siem Reap",Svay Dankum,Siem Reap,Siem Reap,
245111,"1 Bed, 1 Bath Apartment for Sale in Parc 21 Residence",Apartment,16/08/2024,30/08/2024,1,1,N/A,43,12,2022,N/A,"$123,000 ","Boeung Trabek, Chamkarmon, Phnom Penh",Boeung Trabek,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Tennis Court, Backup Electricity / Generator"
245097,"3 Bed, 4 Bath Link House for Sale & Rent in Borey Peng Huoth: The Star Platinum Mercurean I",Unit,16/08/2024,29/08/2024,3,4,75,114,N/A,2022,N,"$130,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245091,Land for Sale in Kakap,Land/Development,16/08/2024,28/08/2024,N/A,N/A,124,N/A,N/A,2022,N/A,"$70,000 ","Kakap, Por Sen Chey, Phnom Penh",Kakap,Por Sen Chey,Phnom Penh,
245090,"1 Bed, 1 Bath Condo for Sale & Rent in De Castle Royal Condominium",Condo,16/08/2024,16/08/2024,1,1,N/A,69,10,2014,N/A,"$110,000 ","BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Common Area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
245070,"2 Bed, 1 Bath Condo for Sale in Time Square 3",Condo,15/08/2024,27/08/2024,2,1,N/A,50,13,2023,N/A,"$75,000 ","Boeung Kak 2, Toul Kork, Phnom Penh",Boeung Kak 2,Toul Kork,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
245069,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris‚Äã I",Shophouse,15/08/2024,27/08/2024,4,5,99,189,N/A,2023,E,"$320,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding, On main road"
245068,"6 Bed, 8 Bath Flat House for Sale in Preaek Aeng",Retreat,15/08/2024,27/08/2024,6,8,105,270,N/A,2023,W,"$170,000 ","Preaek Aeng, Chbar Ampov, Phnom Penh",Preaek Aeng,Chbar Ampov,Phnom Penh,"Car Parking, Non-Flooding"
245066,"6 Bed, 6 Bath Villa for Sale & Rent in Borey Peng Huoth : The Star Platinum Paradigm",Villa,15/08/2024,27/08/2024,6,6,336,324,N/A,2022,W,"$1,080,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245029,"6 Bed, 7 Bath Villa for Sale in The Woods a Natha Residence",Villa,14/08/2024,26/08/2024,6,7,806,432,N/A,2020,N,"$1,300,000 ","Preaek Aeng, Chbar Ampov, Phnom Penh",Preaek Aeng,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245027,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth : The Star Diamond",Shophouse,14/08/2024,23/08/2024,4,5,90,162,N/A,2020,E,"$240,000 ","Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245013,"1 Bed, 1 Bath Apartment for Sale in Bellavita Apartment",Apartment,13/08/2024,22/08/2024,1,1,N/A,39,7,2020,W,"$78,000 ","BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
245009,"8 Bed, 7 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Melody",Villa,13/08/2024,22/08/2024,8,7,1225,596,N/A,2020,E,"$3,500,000 ","Veal Sbov, Chbar Ampov, Phnom Penh",Veal Sbov,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245003,"9 Bed, 7 Bath House for Sale & Rent in BKK 3",House,13/08/2024,20/08/2024,9,7,735,N/A,N/A,2020,N/A,"$3,500.0/m²","BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
244999,"1 Bed, 1 Bath Condo for Sale in Chroy Changvar",Condo,13/08/2024,20/08/2024,1,1,N/A,49,15,2020,N/A,"$65,000 ","Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
244974,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,12/8/2024,20/08/2024,1,1,N/A,36,12,2020,N/A,"$60,000 ","Boeung Kak 1, Toul Kork, Phnom Penh",Boeung Kak 1,Toul Kork,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
244973,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,12/8/2024,20/08/2024,1,1,N/A,40,15,2020,N/A,"$62,000 ","Boeung Kak 1, Toul Kork, Phnom Penh",Boeung Kak 1,Toul Kork,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
244944,"1 Bed, 1 Bath Condo for Sale in Tuol Sangkae 2",Condo,10/8/2024,16/08/2024,1,1,N/A,32,19,2020,N/A,"$63,000 ","Tuol Sangkae 2, Russey Keo, Phnom Penh",Tuol Sangkae 2,Russey Keo,Phnom Penh,"Car Parking, Commercial area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Playground, Swimming Pool, Backup Electricity / Generator"
244937,"7 Bed, 9 Bath Villa for Sale in Borey Peng Huoth : The Star Diamond",Villa,9/8/2024,23/12/2024,7,9,537,588,N/A,2020,S,"$1,990,000 ","Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
244936,"5 Bed, 6 Bath Shophouse for Sale in Preaek Lieb",Shophouse,9/8/2024,15/08/2024,5,6,117,226,N/A,2020,N,"$225,000 ","Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding, On main road"
244933,"3 Bed, 3 Bath Villa for Sale in Preaek Lieb",Villa,9/8/2024,20/08/2024,3,3,160,N/A,N/A,2020,N,"$185,000 ","Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
